variant,height,episode,signed_err,success
baseline,3.8,0,0.78,0
baseline,3.8,1,-0.05,1
baseline,3.8,2,0.58,1
baseline,3.8,3,0.21,1
baseline,3.8,4,0.14,1
baseline,3.8,5,1.54,1
baseline,3.8,6,0.08,1
baseline,3.8,7,0.59,1
baseline,3.8,8,1.48,1
baseline,3.8,9,0.98,1
baseline,4.9,0,2.1,0
baseline,4.9,1,2.4,0
baseline,4.9,2,1.6,1
baseline,4.9,3,0.69,1
baseline,4.9,4,3.5,0
baseline,4.9,5,1.31,0
baseline,4.9,6,1.58,0
baseline,4.9,7,1.23,0
baseline,4.9,8,3.4,0
baseline,4.9,9,0.36,1
baseline,6.0,0,-0.25,1
baseline,6.0,1,1.03,1
baseline,6.0,2,-0.21,1
baseline,6.0,3,2.01,1
baseline,6.0,4,-0.56,1
baseline,6.0,5,1.53,1
baseline,6.0,6,2.04,1
baseline,6.0,7,1.59,1
baseline,6.0,8,1.93,1
baseline,6.0,9,1.39,1
baseline,6.8,0,,0
baseline,6.8,1,-0.05,1
baseline,6.8,2,0.83,1
baseline,6.8,3,-1.06,1
baseline,6.8,4,0.75,1
baseline,6.8,5,-0.27,1
baseline,6.8,6,1.34,1
baseline,6.8,7,-0.66,0
baseline,6.8,8,0.67,1
baseline,6.8,9,1.0,1
implicit,3.8,0,-0.42,1
implicit,3.8,1,-0.57,1
implicit,3.8,2,-0.28,1
implicit,3.8,3,0.34,1
implicit,3.8,4,0.19,1
implicit,3.8,5,0.05,1
implicit,3.8,6,0.07,1
implicit,3.8,7,1.42,1
implicit,3.8,8,-0.57,1
implicit,3.8,9,-0.24,1
implicit,4.9,0,1.4,1
implicit,4.9,1,2.29,1
implicit,4.9,2,2.19,1
implicit,4.9,3,1.67,1
implicit,4.9,4,0.11,1
implicit,4.9,5,-0.47,1
implicit,4.9,6,1.02,1
implicit,4.9,7,0.69,1
implicit,4.9,8,1.95,1
implicit,4.9,9,1.32,1
implicit,6.0,0,1.73,1
implicit,6.0,1,-0.12,1
implicit,6.0,2,1.11,1
implicit,6.0,3,0.83,1
implicit,6.0,4,1.12,1
implicit,6.0,5,0.88,1
implicit,6.0,6,1.04,1
implicit,6.0,7,0.88,1
implicit,6.0,8,1.06,1
implicit,6.0,9,1.16,1
implicit,6.8,0,0.87,1
implicit,6.8,1,0.4,1
implicit,6.8,2,0.32,1
implicit,6.8,3,0.88,1
implicit,6.8,4,1.07,1
implicit,6.8,5,-0.4,1
implicit,6.8,6,1.28,1
implicit,6.8,7,0.39,1
implicit,6.8,8,1.45,1
implicit,6.8,9,1.0,1
